,operand1,operand2,target
0,1,2,3
1,2,3,5
2,3,4,7
3,4,5,9
4,5,6,11
5,6,7,13
6,7,8,15
7,8,9,17
8,9,10,19
9,10,11,21
10,11,12,23
11,12,13,25
12,13,14,27
13,14,15,29
14,15,16,31
15,16,17,33
16,17,18,35
17,18,19,37
18,19,20,39
19,20,21,41
20,21,22,43
21,22,23,45
22,23,24,47
23,24,25,49
24,25,26,51
25,26,27,53
26,27,28,55
27,28,29,57
28,29,30,59
29,30,31,61
30,31,32,63
31,32,33,65
32,33,34,67
33,34,35,69
34,35,36,71
35,36,37,73
36,37,38,75
37,38,39,77
38,39,40,79
39,40,41,81
40,41,42,83
41,42,43,85
42,43,44,87
43,44,45,89
44,45,46,91
45,46,47,93
46,47,48,95
47,48,49,97
48,49,50,99
49,50,51,101
50,51,52,103
51,52,53,105
52,53,54,107
53,54,55,109
54,55,56,111
55,56,57,113
56,57,58,115
57,58,59,117
58,59,60,119
59,60,61,121
60,61,62,123
61,62,63,125
62,63,64,127
63,64,65,129
64,65,66,131
65,66,67,133
66,67,68,135
67,68,69,137
68,69,70,139
69,70,71,141
70,71,72,143
71,72,73,145
72,73,74,147
73,74,75,149
74,75,76,151
75,76,77,153
76,77,78,155
77,78,79,157
78,79,80,159
79,80,81,161
80,81,82,163
81,82,83,165
82,83,84,167
83,84,85,169
84,85,86,171
85,86,87,173
86,87,88,175
87,88,89,177
88,89,90,179
89,90,91,181
90,91,92,183
91,92,93,185
92,93,94,187
93,94,95,189
94,95,96,191
95,96,97,193
96,97,98,195
97,98,99,197
98,99,100,199
99,100,101,201
