,operand1,operand2,target
0,85,78,7
1,0,84,84
2,13,40,27
3,77,28,49
4,18,5,13
5,71,48,23
6,30,58,28
7,100,80,20
8,63,11,52
9,32,6,26
10,64,29,35
11,97,101,4
12,71,47,24
13,59,68,9
14,73,95,22
15,61,22,39
16,22,70,48
17,10,23,13
18,31,6,25
19,43,97,54
20,62,47,15
21,88,83,5
22,86,72,14
23,81,6,75
24,41,85,44
25,10,51,41
26,98,34,64
27,87,21,66
28,86,56,30
29,16,24,8
30,40,81,41
31,34,53,19
32,101,44,57
33,58,64,6
34,37,86,49
35,72,70,2
36,17,35,18
37,12,47,35
38,50,34,16
39,22,63,41
40,5,101,96
41,95,32,63
42,47,82,35
43,74,54,20
44,55,95,40
45,47,55,8
46,63,58,5
47,39,45,6
48,4,44,40
49,72,48,24
50,59,71,12
51,0,0,0
52,16,40,24
53,68,24,44
54,68,19,49
55,79,66,13
56,1,10,9
57,59,16,43
58,56,32,24
59,46,89,43
60,92,3,89
61,45,68,23
62,11,18,7
63,9,52,43
64,71,42,29
65,18,12,6
66,29,61,32
67,19,37,18
68,63,95,32
69,29,1,28
70,98,53,45
71,60,100,40
72,89,29,60
73,59,51,8
74,54,31,23
75,58,84,26
76,29,79,50
77,90,49,41
78,30,39,9
79,79,41,38
80,86,6,80
81,32,42,10
82,80,52,28
83,100,94,6
84,51,98,47
85,92,17,75
86,91,49,42
87,28,67,39
88,72,60,12
89,22,24,2
90,8,12,4
91,11,99,88
92,37,34,3
93,18,95,77
94,101,65,36
95,58,7,51
96,96,6,90
97,38,99,61
98,28,1,27
99,51,89,38
