,operand1,operand2,target
0,67,27,3
1,60,61,60
2,94,55,22
3,78,81,64
4,50,43,34
5,15,13,13
6,4,53,4
7,90,60,24
8,89,78,72
9,5,38,4
10,33,68,0
11,60,73,8
12,41,79,9
13,2,15,2
14,5,41,1
15,26,74,10
16,38,28,4
17,14,98,2
18,44,27,8
19,12,54,4
20,76,71,68
21,88,0,0
22,7,40,0
23,18,101,0
24,11,16,0
25,77,54,4
26,62,21,20
27,94,66,66
28,55,93,21
29,92,27,24
30,21,17,17
31,12,25,8
32,88,58,24
33,13,25,9
34,38,18,2
35,94,38,6
36,34,78,2
37,93,5,5
38,44,33,32
39,92,16,16
40,67,8,0
41,92,12,12
42,91,16,16
43,9,33,1
44,0,35,0
45,61,29,29
46,77,75,73
47,76,52,4
48,3,75,3
49,69,42,0
50,12,22,4
51,38,1,0
52,13,49,1
53,29,30,28
54,65,68,64
55,52,76,4
56,28,93,28
57,71,42,2
58,76,31,12
59,32,78,0
60,28,83,16
61,74,59,10
62,26,96,0
63,51,33,33
64,28,87,20
65,5,26,0
66,5,73,1
67,46,48,32
68,20,59,16
69,56,63,56
70,98,13,0
71,79,79,79
72,77,74,72
73,42,60,40
74,11,45,9
75,99,8,0
76,63,59,59
77,63,84,20
78,82,39,2
79,11,83,3
80,101,90,64
81,48,27,16
82,13,4,4
83,33,34,32
84,19,67,3
85,40,75,8
86,28,76,12
87,57,93,25
88,90,59,26
89,84,76,68
90,27,20,16
91,57,55,49
92,49,66,0
93,94,53,20
94,62,12,12
95,61,33,33
96,75,48,0
97,20,91,16
98,30,89,24
99,62,4,4
