,operand1,operand2,target
0,9,8,9
1,76,47,111
2,32,65,97
3,54,69,119
4,69,26,95
5,5,33,37
6,87,10,95
7,56,82,122
8,21,21,21
9,39,43,47
10,2,70,70
11,43,86,127
12,48,5,53
13,78,76,78
14,19,37,55
15,81,28,93
16,91,4,95
17,88,23,95
18,58,19,59
19,88,12,92
20,92,85,93
21,81,86,87
22,31,78,95
23,50,33,51
24,18,48,50
25,25,34,59
26,18,33,51
27,54,55,55
28,97,99,99
29,8,36,44
30,76,90,94
31,65,17,81
32,100,73,109
33,48,29,61
34,3,91,91
35,8,24,24
36,30,60,62
37,52,33,53
38,84,56,124
39,57,38,63
40,18,41,59
41,19,84,87
42,40,1,41
43,13,51,63
44,58,88,122
45,100,4,100
46,89,74,91
47,50,10,58
48,4,99,103
49,84,1,85
50,89,44,125
51,33,73,105
52,33,32,33
53,0,74,74
54,68,99,103
55,57,19,59
56,34,63,63
57,65,14,79
58,67,49,115
59,26,19,27
60,77,76,77
61,89,34,123
62,101,7,103
63,13,12,13
64,50,78,126
65,21,93,93
66,97,57,121
67,78,46,110
68,2,56,58
69,46,52,62
70,45,37,45
71,12,60,60
72,76,89,93
73,46,64,110
74,80,17,81
75,72,1,73
76,78,30,94
77,70,27,95
78,34,93,127
79,83,31,95
80,39,23,55
81,18,31,31
82,81,0,81
83,99,87,119
84,83,0,83
85,100,61,125
86,58,77,127
87,97,63,127
88,27,87,95
89,100,12,108
90,3,86,87
91,78,79,79
92,4,37,37
93,50,98,114
94,25,47,63
95,69,84,85
96,44,0,44
97,76,57,125
98,14,36,46
99,58,86,126
