,operand1,operand2,target
0,78,4,74
1,17,56,41
2,10,96,106
3,96,5,101
4,30,85,75
5,95,53,106
6,28,93,65
7,40,44,4
8,79,36,107
9,16,73,89
10,18,98,112
11,98,98,0
12,82,64,18
13,63,31,32
14,12,21,25
15,34,32,2
16,40,41,1
17,78,34,108
18,89,27,66
19,19,76,95
20,101,32,69
21,24,77,85
22,51,47,28
23,56,10,50
24,86,56,110
25,23,39,48
26,84,42,126
27,62,42,20
28,82,21,71
29,94,60,98
30,69,92,25
31,1,31,30
32,19,29,14
33,48,89,105
34,32,56,24
35,33,95,126
36,94,81,15
37,18,85,71
38,96,93,61
39,43,17,58
40,23,32,55
41,92,27,71
42,94,89,7
43,43,63,20
44,37,0,37
45,30,100,122
46,64,96,32
47,51,81,98
48,47,67,108
49,11,71,76
50,95,24,71
51,0,40,40
52,23,42,61
53,26,26,0
54,23,17,6
55,22,39,49
56,81,81,0
57,75,38,109
58,92,21,73
59,46,40,6
60,41,14,39
61,100,34,70
62,89,42,115
63,46,46,0
64,57,65,120
65,83,50,97
66,6,57,63
67,36,21,49
68,81,80,1
69,8,48,56
70,77,95,18
71,78,101,43
72,75,2,73
73,7,89,94
74,56,85,109
75,79,92,19
76,42,68,110
77,90,5,95
78,78,70,8
79,49,76,125
80,1,63,62
81,101,0,101
82,54,55,1
83,44,76,96
84,16,10,26
85,18,76,94
86,92,16,76
87,49,15,62
88,65,85,20
89,78,46,96
90,61,1,60
91,86,68,18
92,91,65,26
93,76,83,31
94,100,87,51
95,34,3,33
96,69,76,9
97,98,18,112
98,6,8,14
99,87,48,103
