,operand1,operand2,target
0,3,64,3
1,96,61,36
2,83,34,17
3,48,68,48
4,71,28,17
5,33,58,33
6,60,80,60
7,4,49,4
8,93,86,8
9,34,71,34
10,101,13,17
11,3,30,3
12,87,20,11
13,48,83,48
14,16,80,16
15,22,6,7
16,88,31,28
17,11,40,11
18,13,46,13
19,100,71,30
20,71,52,20
21,9,101,9
22,73,26,23
23,33,43,33
24,9,16,9
25,18,70,18
26,30,46,30
27,50,81,50
28,70,101,70
29,87,85,3
30,44,87,44
31,10,8,3
32,97,18,12
33,34,5,10
34,67,44,24
35,52,38,15
36,5,58,5
37,43,34,10
38,76,50,27
39,1,12,1
40,0,66,0
41,44,7,8
42,58,64,58
43,83,26,8
44,84,72,13
45,43,25,19
46,54,27,2
47,77,33,13
48,74,22,11
49,100,1,100
50,37,79,37
51,94,75,20
52,39,57,39
53,83,21,23
54,64,62,3
55,93,4,24
56,45,100,45
57,12,38,12
58,91,93,91
59,16,12,5
60,54,56,54
61,71,49,23
62,91,34,25
63,66,86,66
64,73,52,22
65,37,101,37
66,67,92,67
67,56,45,12
68,74,97,74
69,37,25,13
70,83,71,13
71,31,20,12
72,8,22,8
73,65,101,65
74,40,48,40
75,13,51,13
76,93,29,9
77,75,10,12
78,4,78,4
79,35,43,35
80,21,101,21
81,67,73,67
82,51,11,11
83,31,23,9
84,6,34,6
85,88,57,32
86,35,93,35
87,73,20,16
88,60,69,60
89,24,29,24
90,99,77,23
91,96,12,8
92,12,85,12
93,83,69,15
94,87,83,5
95,81,49,33
96,7,84,7
97,86,77,10
98,34,36,34
99,1,6,1
