,operand1,operand2,target
0,1,40,False
1,70,98,False
2,27,12,False
3,96,21,False
4,27,5,False
5,5,99,False
6,33,41,False
7,45,60,False
8,19,29,False
9,76,76,True
10,36,91,False
11,87,51,False
12,52,36,False
13,96,35,False
14,73,33,False
15,73,62,False
16,19,33,False
17,97,96,False
18,74,79,False
19,49,60,False
20,49,21,False
21,82,56,False
22,35,70,False
23,16,18,False
24,74,33,False
25,76,83,False
26,43,73,False
27,23,61,False
28,25,59,False
29,81,69,False
30,101,80,False
31,23,22,False
32,70,62,False
33,92,75,False
34,100,22,False
35,27,69,False
36,96,42,False
37,25,0,False
38,59,61,False
39,14,79,False
40,63,79,False
41,77,36,False
42,79,84,False
43,55,2,False
44,37,36,False
45,34,98,False
46,55,38,False
47,14,22,False
48,48,64,False
49,32,65,False
50,56,73,False
51,75,48,False
52,38,60,False
53,35,72,False
54,63,52,False
55,84,64,False
56,61,54,False
57,81,81,True
58,63,60,False
59,95,67,False
60,68,62,False
61,79,49,False
62,52,61,False
63,22,1,False
64,30,58,False
65,43,23,False
66,6,17,False
67,34,75,False
68,61,92,False
69,30,71,False
70,21,54,False
71,62,41,False
72,73,69,False
73,45,84,False
74,28,45,False
75,8,63,False
76,75,37,False
77,82,37,False
78,76,3,False
79,3,38,False
80,29,45,False
81,70,20,False
82,98,14,False
83,59,4,False
84,21,94,False
85,36,86,False
86,14,46,False
87,57,25,False
88,97,6,False
89,2,63,False
90,44,10,False
91,84,54,False
92,19,19,True
93,83,65,False
94,92,101,False
95,80,66,False
96,25,6,False
97,6,19,False
98,58,83,False
99,42,67,False
