,operand1,operand2,target
0,83,96,0
1,77,44,1
2,74,18,4
3,16,35,0
4,95,45,2
5,6,24,0
6,21,91,0
7,11,24,0
8,36,99,0
9,72,48,1
10,37,48,0
11,48,97,0
12,46,72,0
13,84,41,2
14,65,51,1
15,90,96,0
16,41,32,1
17,9,89,0
18,30,55,0
19,45,53,0
20,48,91,0
21,16,54,0
22,21,85,0
23,64,17,3
24,20,37,0
25,92,60,1
26,75,44,1
27,18,67,0
28,66,72,0
29,53,19,2
30,54,51,1
31,5,57,0
32,69,20,3
33,19,73,0
34,16,79,0
35,22,7,3
36,38,23,1
37,87,32,2
38,22,39,0
39,39,56,0
40,41,57,0
41,65,33,1
42,20,80,0
43,56,95,0
44,30,48,0
45,83,29,2
46,3,12,0
47,66,6,11
48,29,47,0
49,99,84,1
50,100,27,3
51,49,90,0
52,30,88,0
53,64,40,1
54,62,23,2
55,30,38,0
56,25,43,0
57,5,33,0
58,65,57,1
59,28,2,14
60,6,91,0
61,44,82,0
62,20,41,0
63,19,23,0
64,30,11,2
65,22,11,2
66,32,80,0
67,94,29,3
68,0,101,0
69,27,63,0
70,54,33,1
71,64,41,1
72,12,75,0
73,90,19,4
74,99,98,1
75,84,11,7
76,36,13,2
77,21,33,0
78,30,16,1
79,98,36,2
80,88,94,0
81,4,93,0
82,20,10,2
83,81,96,0
84,91,11,8
85,87,70,1
86,69,79,0
87,60,52,1
88,75,0,NaN
89,53,98,0
90,83,60,1
91,83,34,2
92,70,48,1
93,13,25,0
94,34,78,0
95,29,6,4
96,76,21,3
97,28,86,0
98,53,12,4
99,91,74,1
