,operand1,operand2,target
0,31,30,1
1,17,63,1
2,27,71,1
3,97,50,1
4,14,57,1
5,86,37,1
6,28,43,1
7,59,93,1
8,9,33,3
9,13,56,1
10,71,13,1
11,86,87,1
12,42,7,7
13,48,52,4
14,47,84,1
15,0,52,NaN
16,79,91,1
17,26,47,1
18,82,83,1
19,52,28,4
20,1,57,1
21,73,93,1
22,58,88,2
23,49,13,1
24,59,37,1
25,72,78,6
26,38,80,2
27,6,42,6
28,62,71,1
29,80,45,5
30,27,57,3
31,28,31,1
32,91,76,1
33,64,13,1
34,74,66,2
35,70,41,1
36,7,87,1
37,90,48,6
38,3,39,3
39,84,43,1
40,97,50,1
41,59,28,1
42,13,15,1
43,54,2,2
44,5,29,1
45,86,92,2
46,86,93,1
47,80,56,8
48,6,20,2
49,59,9,1
50,79,17,1
51,22,9,1
52,26,45,1
53,4,3,1
54,101,97,1
55,44,37,1
56,54,56,2
57,29,73,1
58,50,53,1
59,64,68,4
60,9,54,9
61,72,39,3
62,34,66,2
63,35,38,1
64,47,99,1
65,55,83,1
66,16,37,1
67,31,38,1
68,34,86,2
69,95,0,NaN
70,70,56,14
71,65,71,1
72,95,24,1
73,93,60,3
74,93,54,3
75,67,71,1
76,35,56,7
77,88,72,8
78,70,38,2
79,16,0,NaN
80,37,25,1
81,24,38,2
82,47,22,1
83,57,2,1
84,56,31,1
85,51,92,1
86,76,19,19
87,74,66,2
88,63,88,1
89,81,42,3
90,1,4,1
91,40,35,5
92,35,62,1
93,93,101,1
94,91,1,1
95,39,44,1
96,16,28,4
97,21,39,3
98,75,78,3
99,5,46,1
