,operand1,operand2,target
0,9,42,False
1,41,22,True
2,52,81,False
3,23,7,True
4,8,42,False
5,28,38,False
6,13,76,False
7,101,97,True
8,84,92,False
9,59,18,True
10,33,24,True
11,55,64,False
12,30,2,True
13,20,89,False
14,92,4,True
15,16,67,False
16,35,58,False
17,36,100,False
18,99,39,True
19,55,32,True
20,37,73,False
21,48,55,False
22,91,28,True
23,37,18,True
24,23,94,False
25,46,77,False
26,63,79,False
27,36,47,False
28,11,54,False
29,49,2,True
30,64,33,True
31,51,48,True
32,25,3,True
33,58,78,False
34,38,95,False
35,48,24,True
36,16,18,False
37,86,72,True
38,79,67,True
39,47,62,False
40,44,43,True
41,32,58,False
42,78,100,False
43,61,40,True
44,73,40,True
45,52,56,False
46,93,31,True
47,14,68,False
48,27,4,True
49,28,18,True
50,41,40,True
51,31,81,False
52,72,100,False
53,2,49,False
54,14,61,False
55,24,39,False
56,73,21,True
57,83,42,True
58,64,68,False
59,22,35,False
60,86,50,True
61,93,3,True
62,77,62,True
63,60,35,True
64,16,69,False
65,15,96,False
66,76,65,True
67,75,87,False
68,38,91,False
69,11,0,True
70,35,2,True
71,52,29,True
72,97,72,True
73,81,10,True
74,46,20,True
75,15,77,False
76,77,64,True
77,30,22,True
78,16,22,False
79,78,37,True
80,69,32,True
81,49,19,True
82,55,84,False
83,59,35,True
84,10,1,True
85,5,64,False
86,80,70,True
87,54,54,True
88,44,25,True
89,12,31,False
90,100,18,True
91,29,2,True
92,35,74,False
93,81,80,True
94,64,93,False
95,62,58,True
96,100,75,True
97,98,5,True
98,41,77,False
99,14,44,False
