,operand1,operand2,target
0,80,99,False
1,28,60,False
2,5,23,False
3,11,4,True
4,82,36,True
5,0,40,False
6,27,69,False
7,82,77,True
8,76,59,True
9,66,7,True
10,101,62,True
11,74,46,True
12,46,40,True
13,1,78,False
14,22,75,False
15,93,53,True
16,10,1,True
17,90,27,True
18,37,49,False
19,10,65,False
20,83,80,True
21,50,27,True
22,33,64,False
23,78,45,True
24,86,80,True
25,6,25,False
26,34,81,False
27,54,88,False
28,3,3,False
29,11,56,False
30,3,41,False
31,17,59,False
32,92,58,True
33,52,29,True
34,94,76,True
35,60,39,True
36,53,13,True
37,64,68,False
38,100,24,True
39,43,100,False
40,2,61,False
41,55,39,True
42,59,28,True
43,99,80,True
44,26,40,False
45,37,89,False
46,32,101,False
47,26,90,False
48,90,59,True
49,40,46,False
50,69,76,False
51,41,74,False
52,44,44,False
53,52,12,True
54,59,42,True
55,1,84,False
56,25,92,False
57,90,92,False
58,91,75,True
59,82,19,True
60,80,89,False
61,43,33,True
62,62,5,True
63,85,44,True
64,25,98,False
65,58,13,True
66,29,9,True
67,15,41,False
68,45,63,False
69,35,75,False
70,39,20,True
71,73,75,False
72,6,2,True
73,8,30,False
74,40,54,False
75,88,97,False
76,94,25,True
77,12,59,False
78,44,91,False
79,80,60,True
80,36,84,False
81,91,6,True
82,101,53,True
83,91,61,True
84,78,16,True
85,88,32,True
86,60,86,False
87,87,82,True
88,74,93,False
89,53,11,True
90,52,38,True
91,2,60,False
92,60,63,False
93,29,17,True
94,69,46,True
95,38,48,False
96,24,82,False
97,18,9,True
98,75,68,True
99,91,92,False
