,operand1,operand2,target
0,34,5,2.3592239273284576e-16
1,69,94,1.2733608493872307e-18
2,50,27,6.4249017628770626e-18
3,85,81,4.3689331987564033e-17
4,19,51,6.204187490552346e-17
5,16,94,0.010638297872340425
6,19,65,1.622633651375229e-17
7,60,74,2.813065096178606e-18
8,83,66,4.363092378971969e-18
9,54,71,2.1109874411886782e-17
10,17,44,5.361872562110131e-18
11,35,20,6.071532165918825e-18
12,50,15,5.782411586589357e-17
13,21,18,5.828670879282072e-16
14,25,101,1.7175479960166407e-18
15,10,14,1.982541115402065e-17
16,1,59,0.01694915254237288
17,74,34,6.040919398695704e-17
18,86,13,4.5903451979693976e-17
19,68,82,2.8771023504005584e-18
20,29,85,4.0245584642661925e-16
21,75,69,1.885568995626964e-18
22,39,60,4.5102810375396986e-18
23,101,81,6.4891507805058335e-18
24,25,35,2.4781763942525814e-17
25,59,88,2.3261064791507185e-18
26,100,25,3.469446951953614e-17
27,97,83,2.027327435780124e-18
28,1,30,0.03333333333333333
29,87,73,1.6539281359998053e-17
30,88,6,1.5265566588595902e-16
31,31,43,2.000983358336038e-17
32,86,32,1.8648277366750676e-17
33,80,22,1.2616170734376778e-17
34,3,16,1.0408340855860843e-17
35,16,94,0.010638297872340425
36,28,48,2.42861286636753e-17
37,8,99,0.010101010101010102
38,25,52,3.3360066845707826e-18
39,4,67,0.014925373134328358
40,66,1,9.159339953157541e-16
41,5,27,1.02798428206033e-17
42,46,79,8.08073720455019e-18
43,81,79,5.691649683204917e-17
44,56,41,9.477513624848898e-18
45,48,19,1.6653345369377348e-16
46,32,49,0.02040816326530612
47,8,86,0.011627906976744186
48,59,88,2.3261064791507185e-18
49,56,72,4.8572257327350605e-17
50,69,95,6.299785254863141e-18
51,54,9,4.996003610813204e-16
52,22,91,3.355069579911187e-18
53,59,55,3.72177036664115e-18
54,86,16,3.729655473350135e-17
55,17,2,1.1796119636642288e-16
56,58,78,1.5479071016408433e-17
57,26,10,3.608224830031759e-16
58,0,60,NaN
59,63,32,1.0928757898653885e-16
60,69,83,1.4421195161734903e-18
61,87,21,5.74936923466599e-17
62,87,6,2.0122792321330962e-16
63,72,97,5.1505191864053656e-18
64,83,45,6.399202155825554e-18
65,100,82,2.1155164341180574e-18
66,69,71,1.6858580259492915e-18
67,7,21,5.551115123125783e-17
68,76,59,1.7876472430405065e-17
69,98,36,4.722302795714642e-18
70,58,0,NaN
71,45,97,1.6095372457516767e-18
72,86,8,7.45931094670027e-17
73,28,81,3.885780586188048e-16
74,85,75,4.718447854656915e-17
75,61,66,3.206610061654098e-18
76,25,0,NaN
77,62,36,2.390063455790268e-17
78,21,21,1.6653345369377348e-16
79,87,13,9.287442609845061e-17
80,83,79,3.645115152052531e-18
81,14,62,6.2673880422387875e-18
82,69,60,9.974659986866641e-18
83,79,75,1.827242061362237e-18
84,80,78,4.625929269271485e-17
85,8,69,0.014492753623188406
86,65,58,6.221077293158204e-17
87,9,33,4.5418214643756407e-17
88,2,31,0.03225806451612903
89,46,70,9.119689130849502e-18
90,3,100,1.6653345369377351e-18
91,58,74,5.438592519278639e-18
92,4,47,0.02127659574468085
93,5,78,4.625929269271485e-17
94,75,40,3.2526065174565133e-18
95,59,56,3.655310181522558e-18
96,30,81,2.569960705150825e-18
97,84,78,4.483592984063132e-17
98,69,79,1.5151382258531606e-18
99,28,2,1.942890293094024e-16
