,operand1,operand2,target
0,60,52,False
1,90,37,False
2,46,6,False
3,32,101,True
4,5,55,True
5,18,85,True
6,8,99,True
7,11,47,True
8,35,49,True
9,44,69,True
10,19,38,True
11,2,23,True
12,69,73,True
13,36,100,True
14,0,97,True
15,5,0,False
16,9,43,True
17,100,74,False
18,65,94,True
19,20,88,True
20,25,54,True
21,88,101,True
22,4,50,True
23,25,6,False
24,38,25,False
25,19,24,True
26,101,35,False
27,56,60,True
28,31,59,True
29,75,11,False
30,9,5,False
31,100,0,False
32,32,26,False
33,93,44,False
34,30,67,True
35,46,68,True
36,29,62,True
37,76,46,False
38,68,83,True
39,21,34,True
40,51,49,False
41,61,24,False
42,2,10,True
43,45,89,True
44,69,40,False
45,101,33,False
46,62,61,False
47,68,22,False
48,55,83,True
49,15,46,True
50,43,58,True
51,61,78,True
52,71,22,False
53,67,94,True
54,32,74,True
55,67,68,True
56,65,59,False
57,61,67,True
58,20,8,False
59,42,15,False
60,5,23,True
61,53,36,False
62,62,47,False
63,7,50,True
64,11,90,True
65,26,99,True
66,24,54,True
67,77,76,False
68,76,95,True
69,21,16,False
70,99,71,False
71,27,79,True
72,83,39,False
73,24,33,True
74,37,49,True
75,55,61,True
76,6,63,True
77,100,6,False
78,20,74,True
79,80,65,False
80,59,50,False
81,95,46,False
82,101,63,False
83,91,95,True
84,13,3,False
85,98,98,True
86,79,84,True
87,91,45,False
88,90,16,False
89,53,26,False
90,24,65,True
91,21,60,True
92,96,20,False
93,90,71,False
94,91,99,True
95,26,30,True
96,71,101,True
97,96,40,False
98,13,53,True
99,38,5,False
