,operand1,operand2,target
0,1,2,0.0
1,2,3,0.6309297535714574
2,3,4,0.7924812503605781
3,4,5,0.8613531161467861
4,5,6,0.8982444017039272
5,6,7,0.9207822211616018
6,7,8,0.9357849740192015
7,8,9,0.946394630357186
8,9,10,0.9542425094393249
9,10,11,0.9602525677891275
10,11,12,0.9649840459813438
11,12,13,0.9687936498860342
12,13,14,0.9719187714029215
13,14,15,0.9745230455997933
14,15,16,0.9767226489021297
15,16,17,0.978602168472904
16,17,18,0.9802245459658266
17,18,19,0.9816375134099121
18,19,20,0.9828778776927557
19,20,21,0.983974444213354
20,21,22,0.9849500560613943
21,22,23,0.9858230443082923
22,23,24,0.986608277678501
23,24,25,0.9873179343530823
24,25,26,0.9879620776439305
25,26,27,0.9885490910147501
26,27,28,0.9890860107595969
27,28,29,0.9895787832186365
28,29,30,0.9900324656668077
29,30,31,0.9904513846818753
30,31,32,0.990839262077375
31,32,33,0.9911993158528026
32,33,34,0.9915343417267494
33,34,35,0.9918467794511493
34,35,36,0.9921387671028095
35,36,37,0.9924121858067799
36,37,38,0.9926686967920048
37,38,39,0.9929097722620002
38,39,40,0.9931367212457825
39,40,41,0.9933507113510024
40,41,42,0.9935527871534756
41,42,43,0.9937438858113363
42,43,44,0.9939248503778352
43,44,45,0.994096441196862
44,45,46,0.9942593456940286
45,46,47,0.9944141868193803
46,47,48,0.994561530352335
47,48,49,0.9947018912428343
48,49,50,0.9948357391330555
49,50,51,0.994963503179957
50,51,52,0.9950855762792397
51,52,53,0.9952023187751823
52,53,54,0.9953140617275088
53,54,55,0.9954211097954581
54,55,56,0.9955237437901016
55,56,57,0.9956222229383501
56,57,58,0.9957167868957411
57,58,59,0.995807657539761
58,59,60,0.9958950405709726
59,60,61,0.995979126945425
60,61,62,0.9960600941586246
61,62,63,0.9961381073986034
62,63,64,0.9962133205833195
63,64,65,0.9962858772956269
64,65,66,0.9963559116273615
65,66,67,0.9964235489426291
66,67,68,0.9964889065691319
67,68,69,0.9965520944252815
68,69,70,0.9966132155899134
69,70,71,0.9966723668206111
70,71,72,0.9967296390259341
71,72,73,0.9967851176962429
72,73,74,0.9968388832972667
73,74,75,0.996891011630106
74,75,76,0.9969415741609375
75,76,77,0.9969906383233496
76,77,78,0.9970382677958968
77,78,79,0.9970845227572089
78,79,80,0.9971294601207289
79,80,81,0.9971731337509391
80,81,82,0.997215594662757
81,82,83,0.9972568912055896
82,83,84,0.9972970692334105
83,84,85,0.9973361722620666
84,85,86,0.9973742416149212
85,86,87,0.997411316557816
86,87,88,0.9974474344242616
87,88,89,0.9974826307316564
88,89,90,0.9975169392892776
89,90,91,0.9975503922987136
90,91,92,0.9975830204473374
91,92,93,0.9976148529953845
92,93,94,0.9976459178571275
93,94,95,0.997676241676613
94,95,96,0.9977058498983777
95,96,97,0.9977347668335242
96,97,98,0.9977630157215066
97,98,99,0.9977906187879474
98,99,100,0.9978175972987748
99,100,101,0.9978439716109563
