,operand1,operand2,target
0,34,29,False
1,90,9,False
2,60,49,False
3,32,1,False
4,11,80,True
5,10,65,True
6,99,32,False
7,34,77,True
8,96,77,False
9,22,28,True
10,92,59,False
11,43,0,False
12,3,49,True
13,52,37,False
14,97,93,False
15,66,8,False
16,37,48,True
17,30,72,True
18,62,77,True
19,79,94,True
20,23,89,True
21,93,81,False
22,33,50,True
23,17,87,True
24,50,51,True
25,59,72,True
26,45,101,True
27,33,81,True
28,12,66,True
29,78,63,False
30,12,32,True
31,96,100,True
32,45,45,False
33,20,54,True
34,71,16,False
35,99,18,False
36,77,64,False
37,67,74,True
38,26,10,False
39,37,11,False
40,28,45,True
41,54,43,False
42,47,93,True
43,55,29,False
44,69,10,False
45,22,58,True
46,65,31,False
47,36,31,False
48,2,43,True
49,55,22,False
50,21,58,True
51,17,47,True
52,89,69,False
53,62,79,True
54,12,74,True
55,10,70,True
56,75,7,False
57,45,27,False
58,69,39,False
59,76,91,True
60,10,74,True
61,6,61,True
62,51,32,False
63,14,69,True
64,89,47,False
65,63,74,True
66,15,39,True
67,80,101,True
68,89,58,False
69,32,37,True
70,68,48,False
71,49,14,False
72,30,11,False
73,1,29,True
74,64,71,True
75,52,4,False
76,2,19,True
77,56,12,False
78,83,42,False
79,60,28,False
80,4,43,True
81,43,82,True
82,44,95,True
83,0,27,True
84,33,5,False
85,92,42,False
86,23,29,True
87,57,70,True
88,1,69,True
89,12,63,True
90,30,25,False
91,38,3,False
92,6,45,True
93,60,10,False
94,34,60,True
95,80,9,False
96,27,72,True
97,95,14,False
98,29,16,False
99,20,55,True
