,operand1,operand2,target
0,59,41,59
1,83,59,83
2,24,90,90
3,84,97,97
4,30,36,36
5,39,97,97
6,93,17,93
7,61,3,61
8,24,0,24
9,31,18,31
10,11,64,64
11,74,95,95
12,51,12,51
13,36,0,36
14,18,100,100
15,76,22,76
16,21,93,93
17,76,91,91
18,94,20,94
19,42,77,77
20,18,61,61
21,59,82,82
22,26,35,35
23,45,29,45
24,57,52,57
25,46,12,46
26,28,3,28
27,94,22,94
28,21,48,48
29,22,90,90
30,91,85,91
31,55,93,93
32,78,99,99
33,94,54,94
34,65,99,99
35,71,46,71
36,85,0,85
37,66,100,100
38,20,10,20
39,3,90,90
40,48,9,48
41,92,63,92
42,76,89,89
43,25,87,87
44,84,16,84
45,93,40,93
46,65,43,65
47,68,14,68
48,23,95,95
49,23,52,52
50,2,96,96
51,74,20,74
52,35,67,67
53,1,80,80
54,7,24,24
55,97,23,97
56,34,95,95
57,62,37,62
58,36,80,80
59,98,47,98
60,89,39,89
61,50,12,50
62,67,58,67
63,7,1,7
64,31,64,64
65,63,89,89
66,42,81,81
67,23,87,87
68,91,86,91
69,33,69,69
70,34,46,46
71,14,97,97
72,24,37,37
73,83,78,83
74,50,56,56
75,34,16,34
76,78,0,78
77,16,72,72
78,92,100,100
79,68,54,68
80,91,88,91
81,41,43,43
82,53,50,53
83,57,12,57
84,77,95,95
85,101,97,101
86,19,53,53
87,16,48,48
88,43,41,43
89,20,12,20
90,9,91,91
91,68,85,85
92,57,49,57
93,66,88,88
94,39,77,77
95,6,60,60
96,76,101,101
97,71,22,71
98,0,33,33
99,59,25,59
