,operand1,operand2,target
0,91,53,53
1,56,26,26
2,77,87,77
3,42,67,42
4,56,63,56
5,40,91,40
6,21,27,21
7,79,25,25
8,94,3,3
9,48,30,30
10,9,74,9
11,10,71,10
12,33,21,21
13,80,97,80
14,70,44,44
15,100,66,66
16,31,65,31
17,72,31,31
18,75,36,36
19,10,55,10
20,35,46,35
21,31,60,31
22,84,99,84
23,70,85,70
24,74,52,52
25,101,11,11
26,64,41,41
27,6,58,6
28,29,97,29
29,48,41,41
30,79,99,79
31,35,51,35
32,89,19,19
33,95,2,2
34,88,51,51
35,83,19,19
36,47,66,47
37,68,22,22
38,46,31,31
39,42,34,34
40,27,96,27
41,30,20,20
42,88,89,88
43,99,50,50
44,83,40,40
45,0,27,0
46,24,57,24
47,89,89,89
48,42,98,42
49,99,32,32
50,90,51,51
51,11,32,11
52,89,4,4
53,19,47,19
54,36,95,36
55,18,93,18
56,45,41,41
57,54,93,54
58,20,30,20
59,98,39,39
60,3,5,3
61,23,36,23
62,85,32,32
63,48,17,17
64,22,88,22
65,49,1,1
66,11,30,11
67,90,72,72
68,10,72,10
69,88,95,88
70,66,33,33
71,54,17,17
72,50,36,36
73,22,97,22
74,70,60,60
75,94,60,60
76,13,93,13
77,19,99,19
78,63,63,63
79,12,23,12
80,91,38,38
81,71,45,45
82,82,10,10
83,72,69,69
84,53,10,10
85,43,16,16
86,15,46,15
87,82,43,43
88,76,41,41
89,8,68,8
90,101,25,25
91,22,0,0
92,4,11,4
93,98,15,15
94,83,87,83
95,93,39,39
96,30,90,30
97,85,20,20
98,7,48,7
99,41,11,11
