,operand1,operand2,target
0,17,32,17
1,78,13,0
2,54,76,54
3,13,66,13
4,90,80,10
5,26,101,26
6,75,91,75
7,93,6,3
8,57,52,5
9,83,69,14
10,71,55,16
11,30,34,30
12,16,68,16
13,44,24,20
14,48,79,48
15,89,76,13
16,53,15,8
17,79,33,13
18,95,35,25
19,8,82,8
20,92,11,4
21,17,59,17
22,36,50,36
23,29,61,29
24,22,15,7
25,67,18,13
26,46,9,1
27,75,93,75
28,95,92,3
29,9,91,9
30,94,50,44
31,98,77,21
32,56,52,4
33,60,48,12
34,15,48,15
35,40,86,40
36,39,64,39
37,59,7,3
38,28,35,28
39,55,29,26
40,19,1,0
41,91,14,7
42,97,92,5
43,71,91,71
44,16,88,16
45,25,30,25
46,58,43,15
47,26,32,26
48,28,98,28
49,39,100,39
50,8,67,8
51,60,15,0
52,8,83,8
53,80,25,5
54,29,90,29
55,72,24,0
56,20,42,20
57,11,22,11
58,50,19,12
59,73,25,23
60,49,36,13
61,12,65,12
62,90,50,40
63,66,38,28
64,4,46,4
65,10,91,10
66,40,65,40
67,72,48,24
68,37,44,37
69,41,74,41
70,90,50,40
71,5,22,5
72,74,10,4
73,59,38,21
74,31,100,31
75,9,12,9
76,30,74,30
77,53,98,53
78,57,64,57
79,27,92,27
80,48,2,0
81,55,51,4
82,54,57,54
83,56,1,0
84,18,19,18
85,50,79,50
86,0,14,0
87,1,28,1
88,9,43,9
89,37,6,1
90,62,63,62
91,9,84,9
92,15,78,15
93,4,55,4
94,76,24,4
95,92,90,2
96,32,51,32
97,83,100,83
98,26,56,26
99,61,85,61
