,operand1,operand2,target
0,55,35,1925
1,39,74,2886
2,22,28,616
3,33,80,2640
4,77,14,1078
5,58,31,1798
6,100,82,8200
7,97,27,2619
8,12,76,912
9,79,56,4424
10,46,7,322
11,45,33,1485
12,2,74,148
13,9,44,396
14,98,5,490
15,64,77,4928
16,44,52,2288
17,95,71,6745
18,23,8,184
19,0,96,0
20,52,70,3640
21,69,100,6900
22,95,10,950
23,75,64,4800
24,14,86,1204
25,77,71,5467
26,1,87,87
27,17,23,391
28,85,2,170
29,57,52,2964
30,45,8,360
31,2,67,134
32,28,15,420
33,70,27,1890
34,51,37,1887
35,69,93,6417
36,99,100,9900
37,17,21,357
38,44,34,1496
39,18,4,72
40,65,82,5330
41,47,19,893
42,99,89,8811
43,75,15,1125
44,22,78,1716
45,71,33,2343
46,43,31,1333
47,69,0,0
48,52,86,4472
49,4,5,20
50,24,15,360
51,82,61,5002
52,46,70,3220
53,23,70,1610
54,39,101,3939
55,56,51,2856
56,33,37,1221
57,85,25,2125
58,49,84,4116
59,64,3,192
60,19,93,1767
61,30,76,2280
62,73,10,730
63,75,13,975
64,42,85,3570
65,55,96,5280
66,27,39,1053
67,15,26,390
68,18,33,594
69,73,21,1533
70,91,29,2639
71,4,1,4
72,25,7,175
73,17,64,1088
74,5,65,325
75,44,90,3960
76,75,24,1800
77,42,41,1722
78,30,30,900
79,94,34,3196
80,2,1,2
81,55,100,5500
82,29,5,145
83,84,4,336
84,10,66,660
85,10,42,420
86,84,56,4704
87,57,18,1026
88,11,87,957
89,88,50,4400
90,83,89,7387
91,74,43,3182
92,73,2,146
93,48,45,2160
94,15,77,1155
95,33,84,2772
96,72,40,2880
97,23,30,690
98,66,52,3432
99,91,35,3185
