,operand1,operand2,target
0,13,41,True
1,100,3,True
2,28,75,True
3,41,20,True
4,52,72,True
5,19,92,True
6,69,15,True
7,60,41,True
8,34,64,True
9,101,69,True
10,72,45,True
11,4,49,True
12,86,74,True
13,8,46,True
14,82,74,True
15,11,42,True
16,85,29,True
17,63,1,True
18,32,87,True
19,43,40,True
20,59,89,True
21,100,55,True
22,30,86,True
23,38,22,True
24,85,25,True
25,84,67,True
26,48,8,True
27,52,25,True
28,51,37,True
29,34,90,True
30,27,22,True
31,82,38,True
32,78,46,True
33,1,35,True
34,14,29,True
35,69,84,True
36,66,74,True
37,67,83,True
38,16,74,True
39,98,7,True
40,51,78,True
41,57,30,True
42,71,83,True
43,72,28,True
44,22,28,True
45,42,11,True
46,35,99,True
47,82,76,True
48,19,20,True
49,71,9,True
50,5,68,True
51,27,15,True
52,95,32,True
53,82,81,True
54,92,57,True
55,85,44,True
56,57,5,True
57,11,48,True
58,18,43,True
59,85,83,True
60,24,78,True
61,1,59,True
62,73,6,True
63,49,68,True
64,86,45,True
65,87,7,True
66,83,3,True
67,54,77,True
68,85,94,True
69,65,25,True
70,84,94,True
71,52,72,True
72,68,66,True
73,9,1,True
74,16,19,True
75,30,69,True
76,75,101,True
77,92,22,True
78,36,20,True
79,11,34,True
80,29,95,True
81,25,13,True
82,59,63,True
83,54,24,True
84,22,75,True
85,73,95,True
86,70,36,True
87,89,79,True
88,91,2,True
89,65,101,True
90,92,82,True
91,56,25,True
92,39,56,True
93,58,54,True
94,20,0,True
95,79,28,True
96,79,100,True
97,74,42,True
98,66,8,True
99,24,5,True
