,operand1,operand2,target
0,40,33,73786976294838206464000000000000000000000000000000000
1,4,88,95780971304118053647396689196894323976171195136475136
2,52,51,3282241447579464845659190667144261053295353121076460820660635494960385420292139094376448
3,53,18,10888439761782913818722623349689
4,32,42,1645504557321206042154969182557350504982735865633579863348609024
5,97,16,61425365346268570446197767595521
6,81,80,477311073811304114486478503581164406916224853039238513850085608145771986880516808459166772134240378240755073828170296740373082348622309614668344831750401
7,64,11,73786976294838206464
8,90,39,16423203268260658146231467800709255289000000000000000000000000000000000000000
9,43,30,10093776109231555797740541116805209814919811290249
10,54,56,10328816219251024024797851580247163198057681988515345171883596011353602750899987035423951128887296
11,76,58,12223296661373251385720168804455267781466710816017784037390649586506779701556612871630472028499850607487614976
12,92,33,63826099131230329780051630785335865048320528812984405889606746112
13,18,2,324
14,86,30,10838109570573913960623703697505423039374700588527754674176
15,100,99,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,66,9,23762680013799936
17,62,50,416470721148177771532676369918117947181737776340608755765950803371888848050241916448538624
18,33,33,129110040087761027839616029934664535539337183380513
19,31,31,17069174130723235958610643029059314756044734431
20,25,54,3081487911019577364889564708135883709660962637144621112383902072906494140625
21,8,3,512
22,36,23,623673825204293256669089197883129856
23,63,86,55371622959898721116510432718325415429735703812212572088593704266594615716321536339559251024905112762292887802460885999008067500415452321511186335658171009
24,33,66,16669402451463259637329876426477330990543373441558690953495417732649142801752419789735108174548143169
25,83,10,15516041187205853449
26,11,36,30912680532870672635673352936887453361
27,90,72,507528786056415600719754159741696356908742250191663887263627442114881000000000000000000000000000000000000000000000000000000000000000000000000
28,24,17,290797794982682557415424
29,44,50,14881058511424953988078608769806432918740714444252299374974281300129389429838053376
30,29,87,16928786085125636217954685526539591476599450947979275450903188345458171206851597191594097186523156446465868041540741828707650709
31,6,29,36845653286788892983296
32,25,11,2384185791015625
33,86,19,5694696374225032506197040004284809216
34,101,75,2109128468356076992781261008734162985468512542509567780240789465699394984335756760571967447423844872644231872337011031641963923416896767265512552757501
35,89,100,868961758838235800287756364471948378335796838288975942380290688618631629298190451688200804595799187620583691268029782284423459421328787441070241643294159775050113833420284747674478527063285036001
36,83,22,1658509762573818415340429240403156732495289
37,57,53,1151774212286581261302104858871473797729409641869624858598472641306844001437957553978477996057
38,52,35,1148463050547270472364477221394724573249625979621793876410368
39,6,87,50021738714629030177311081962496059484833406150976385567830453518336
40,96,78,41414858044201760941389580137888110071519622221137256622394395059295675181814553501483416062370335479319421036434635087246989922599603273785942398767988736
41,29,18,210457284365172120330305161
42,82,1,82
43,1,70,1
44,54,39,36589513333132485438418024367931777723370517058826180760223816351744
45,39,84,44609462476653692896066381580737337589604485484704190245738460389950843631350094925786218491031229632581939117014784648013037775558241
46,25,93,10195788231247694572984834545713355555783069153232760230872869461671442569683572230035775198209169190022294060327112674713134765625
47,17,43,81152820641272625991922463475488672334362661535406513
48,62,56,23655635075054868395368146565379030189821174558658878753479123997277348132316119922468638455723196416
49,60,91,648281733741592231097951622233948930923440943716653956959082677597634560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
50,62,101,10753767417568361358313300774629382468089531173862372608634937078071277698733030569375921064335137758853100619817922587627056669327488599577130309832123178637438876324272043628429312
51,63,52,3678820277112369941752406492055617750524857276435745204835851439221618493114067416732445889281
52,96,0,1
53,52,1,52
54,78,76,629781362970654382337068786983302805415439519706297750217933750685517288814174651381812965515336901033059600261410037082073904170573719138205696
55,20,76,755578637259143234191360000000000000000000000000000000000000000000000000000000000000000000000000000
56,95,29,2259355409925658599380497079596838015876710414886474609375
57,99,100,36603234127322950493061602657251738618971207663892369140595737269931704475072474818719654351002695040066156910065284327471823569680179941585710535449170757427389035006098270837114978219916760849490001
58,45,70,53073284378983081100680158427125588348600982288180187454105335965020350343958333017013728749589063227176666259765625
59,56,5,550731776
60,52,28,1117104038291523308698708754461764526705953734656
61,47,58,9586846203321517835652639273979867303289447776249083032207240909857623118672010703642850920403489
62,94,88,431768660962832521370586126154342467616447603214530872539914484466966687684579712207623071769979882404571571478677384624946153437285325654565951385817609785491072437207433216
63,83,93,29803178984010311493592865361826950050880714876955812395972941546927408090752251476095251881668693440319321560547184835277903262740781526355043663180310135339970192313970231334563
64,56,88,6927018963129532298432124671568376175168848650283922924835297393944964857752052097626310894580243695790409739800019363432124924882995801713490412139708416
65,79,86,15701091733911005039058018134515591100230024516717081888584305795418262516795142712396701976283136741150049062868709289366652374855096750702527661176436773532505121
66,17,62,19401402493429270772184517882322157792401011763891877258989132067877445707489
67,82,43,19678665903011692640707539878414961825243874935979029489502492343808056911219130368
68,53,8,62259690411361
69,86,0,1
70,66,91,3788769061239010020913659667095835279386520748356043546596773590582766333822159143647995837720672196617720464630641797774296134027289316864791070339906818993779900416
71,65,46,247750423521928431682334158592641335825067172800858230630183243192732334136962890625
72,83,80,3359289171990692859101162395084760551335770381108886188807438124794850460332309927218424962769484284621438489250557913078803967931337259222096084280942401
73,71,7,9095120158391
74,89,91,2480222281205219535556268539119688358247528429327311074786369134704761287552216532115760398871960189723524396960435948088753691071099767410592432749002117360486505197948276903689
75,60,31,13264435183244001473986560000000000000000000000000000000
76,36,86,69504842889850465003937437361477791133967604330890204501373930945428512785233633512028412478583419289257119930034025932198351141339136
77,86,81,4947371816726797156878105092759425248432430080860632186952421567214104975436686013010508779313238268164420414950152978011809398888983887601037792904149467136
78,89,40,945366624540204596465924137849354245846140921259572676085974614185475142494401
79,66,46,500058754589672853754888434142771836721322615636029797590781913887274816170797039616
80,40,38,7555786372591432341913600000000000000000000000000000000000000
81,21,22,122694327386105632949003612841
82,54,41,106695020879414327538426959056889063841348427743537143096812648481685504
83,73,7,11047398519097
84,22,32,9068298061633453450429559033030337013743616
85,47,50,402617730805669449351119414631101081965810862692259490987379173664059714186381625249
86,96,25,36039671685801831528556966611382362673405677797376
87,59,54,422677012039049823392189249582912168508183424511470863651731021473975132385500943781398124444361
88,16,92,601226901190101306339707032778070279008174732520529886901066488712245510429339761526706943586500787976175353856
89,34,98,1216000826555594715866526927302454632376075141594969486775525323981276457648907935843725097421524433063723640620876449582964063227614584107840093290496
90,91,12,322475487413604782665681
91,80,95,6216540455122333026942278101835260501255701884966846468005799711164493712656667194163200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
92,31,85,5831012546854079646448279686559045558023241328409908357909249700031349941873949373193261294969408198544226916924988480248955551
93,78,35,1672288080095038247812206534363794122339352107665905296758729080832
94,46,7,435817657216
95,84,48,231956064137666564484918802386016706154137632948123783590987542376430992908544690986309124096
96,80,19,1441151880758558720000000000000000000
97,52,94,201518212234646571246369952114178169870112665555090257436404368353016346200764781910517943982592189608157356749804909262169865398966475202258722707804402151849984
98,80,37,25961484292674138142652481646100480000000000000000000000000000000000000
99,22,90,6577203420835566303883993872613181403851577858464644485596820447398005824926627384825762303115474475982175806178746957824
