,operand1,operand2,target
0,33,22,0
1,89,90,0
2,7,71,0
3,18,58,0
4,86,23,0
5,45,23,0
6,101,31,0
7,95,11,0
8,19,37,0
9,31,35,0
10,83,51,0
11,10,74,0
12,76,1,38
13,84,42,0
14,2,74,0
15,50,16,0
16,49,93,0
17,31,94,0
18,96,91,0
19,92,86,0
20,3,11,0
21,65,28,0
22,47,86,0
23,74,19,0
24,32,65,0
25,78,55,0
26,5,46,0
27,47,19,0
28,31,33,0
29,31,70,0
30,16,82,0
31,50,6,0
32,38,25,0
33,64,60,0
34,56,65,0
35,98,53,0
36,60,73,0
37,78,55,0
38,31,28,0
39,16,26,0
40,18,95,0
41,11,72,0
42,44,87,0
43,2,18,0
44,8,69,0
45,58,100,0
46,16,100,0
47,22,43,0
48,14,97,0
49,96,35,0
50,43,94,0
51,49,60,0
52,3,51,0
53,66,19,0
54,97,29,0
55,57,57,0
56,53,4,3
57,90,29,0
58,21,38,0
59,14,5,0
60,86,62,0
61,45,28,0
62,67,72,0
63,74,23,0
64,9,101,0
65,68,62,0
66,0,20,0
67,60,36,0
68,99,53,0
69,96,23,0
70,34,5,1
71,41,82,0
72,25,12,0
73,14,18,0
74,100,10,0
75,13,84,0
76,39,91,0
77,81,99,0
78,37,61,0
79,83,12,0
80,5,23,0
81,26,93,0
82,27,84,0
83,39,36,0
84,36,66,0
85,58,2,14
86,25,28,0
87,11,44,0
88,43,20,0
89,15,61,0
90,86,8,0
91,97,100,0
92,41,77,0
93,85,59,0
94,26,58,0
95,61,64,0
96,41,65,0
97,96,100,0
98,19,61,0
99,79,65,0
