,operand1,operand2,target
0,70,2,35.0
1,89,86,1.0348837209302326
2,36,54,0.6666666666666666
3,101,13,7.769230769230769
4,0,3,0.0
5,38,5,7.6
6,90,23,3.9130434782608696
7,2,4,0.5
8,48,1,48.0
9,11,31,0.3548387096774194
10,11,61,0.18032786885245902
11,60,10,6.0
12,23,73,0.3150684931506849
13,47,48,0.9791666666666666
14,47,15,3.1333333333333333
15,95,99,0.9595959595959596
16,50,29,1.7241379310344827
17,35,14,2.5
18,28,32,0.875
19,31,36,0.8611111111111112
20,99,71,1.3943661971830985
21,55,34,1.6176470588235294
22,25,44,0.5681818181818182
23,19,5,3.8
24,77,25,3.08
25,97,85,1.1411764705882352
26,39,39,1.0
27,90,51,1.7647058823529411
28,81,9,9.0
29,65,92,0.7065217391304348
30,65,6,10.833333333333334
31,58,60,0.9666666666666667
32,48,71,0.676056338028169
33,23,66,0.3484848484848485
34,19,28,0.6785714285714286
35,90,15,6.0
36,49,21,2.3333333333333335
37,59,18,3.2777777777777777
38,1,65,0.015384615384615385
39,80,58,1.3793103448275863
40,47,84,0.5595238095238095
41,53,80,0.6625
42,88,30,2.933333333333333
43,35,68,0.5147058823529411
44,40,1,40.0
45,67,4,16.75
46,6,89,0.06741573033707865
47,69,8,8.625
48,2,38,0.05263157894736842
49,20,43,0.46511627906976744
50,0,67,0.0
51,43,50,0.86
52,92,93,0.989247311827957
53,43,75,0.5733333333333334
54,57,92,0.6195652173913043
55,94,32,2.9375
56,12,62,0.1935483870967742
57,27,7,3.857142857142857
58,29,57,0.5087719298245614
59,54,40,1.35
60,86,66,1.303030303030303
61,2,94,0.02127659574468085
62,55,16,3.4375
63,84,60,1.4
64,6,48,0.125
65,3,75,0.04
66,80,3,26.666666666666668
67,61,32,1.90625
68,28,7,4.0
69,12,0,NaN
70,80,34,2.3529411764705883
71,92,98,0.9387755102040817
72,27,0,NaN
73,55,69,0.7971014492753623
74,81,81,1.0
75,90,91,0.989010989010989
76,72,91,0.7912087912087912
77,30,5,6.0
78,18,97,0.18556701030927836
79,6,80,0.075
80,96,41,2.341463414634146
81,56,71,0.7887323943661971
82,69,29,2.3793103448275863
83,61,35,1.7428571428571429
84,87,2,43.5
85,61,88,0.6931818181818182
86,69,83,0.8313253012048193
87,89,7,12.714285714285714
88,50,81,0.6172839506172839
89,17,51,0.3333333333333333
90,56,19,2.9473684210526314
91,38,91,0.4175824175824176
92,85,48,1.7708333333333333
93,31,83,0.37349397590361444
94,41,98,0.41836734693877553
95,14,92,0.15217391304347827
96,69,78,0.8846153846153846
97,79,91,0.8681318681318682
98,81,90,0.9
99,86,97,0.8865979381443299
