,operand1,operand2,result,target
0,2,52,54,add
1,88,58,146,add
2,73,95,168,add
3,76,74,150,add
4,45,65,110,add
5,45,89,134,add
6,38,94,132,add
7,66,88,154,add
8,49,10,59,add
9,62,53,115,add
10,88,58,146,add
11,10,77,87,add
12,50,63,113,add
13,89,28,117,add
14,40,30,70,add
15,13,4,17,add
16,65,53,118,add
17,63,63,126,add
18,62,81,143,add
19,77,54,131,add
20,47,89,136,add
21,0,62,62,add
22,44,41,85,add
23,32,100,132,add
24,35,69,104,add
25,36,55,91,add
26,8,14,22,add
27,24,45,69,add
28,2,0,2,add
29,65,72,137,add
30,65,87,152,add
31,37,31,68,add
32,42,77,119,add
33,28,34,62,add
34,81,78,159,add
35,5,95,100,add
36,46,11,57,add
37,79,42,121,add
38,56,12,68,add
39,93,41,134,add
40,73,94,167,add
41,90,4,94,add
42,80,13,93,add
43,11,44,55,add
44,99,61,160,add
45,53,5,58,add
46,34,80,114,add
47,65,97,162,add
48,21,27,48,add
49,6,53,59,add
50,60,17,77,add
51,74,64,138,add
52,48,63,111,add
53,59,37,96,add
54,41,89,130,add
55,47,77,124,add
56,56,68,124,add
57,76,77,153,add
58,36,35,71,add
59,78,10,88,add
60,53,82,135,add
61,21,67,88,add
62,73,32,105,add
63,73,97,170,add
64,28,3,31,add
65,100,50,150,add
66,24,78,102,add
67,78,7,85,add
68,81,20,101,add
69,0,69,69,add
70,20,25,45,add
71,21,6,27,add
72,43,13,56,add
73,13,49,62,add
74,95,67,162,add
75,5,2,7,add
76,55,99,154,add
77,92,73,165,add
78,9,40,49,add
79,31,15,46,add
80,7,98,105,add
81,75,30,105,add
82,7,86,93,add
83,4,83,87,add
84,34,2,36,add
85,100,99,199,add
86,30,8,38,add
87,28,31,59,add
88,47,95,142,add
89,63,69,132,add
90,14,13,27,add
91,86,61,147,add
92,76,0,76,add
93,37,66,103,add
94,48,15,63,add
95,25,97,122,add
96,92,62,154,add
97,4,29,33,add
98,61,15,76,add
99,91,12,103,add
100,22,98,120,add
101,32,94,126,add
102,50,73,123,add
103,3,94,97,add
104,42,46,88,add
105,86,10,96,add
106,101,13,114,add
107,91,54,145,add
108,45,99,144,add
109,49,21,70,add
110,56,95,151,add
111,77,28,105,add
112,56,83,139,add
113,3,37,40,add
114,52,38,90,add
115,22,99,121,add
116,22,63,85,add
117,48,96,144,add
118,71,91,162,add
119,13,60,73,add
120,52,23,75,add
121,57,30,87,add
122,70,51,121,add
123,71,64,135,add
124,88,46,134,add
125,36,91,127,add
126,60,89,149,add
127,69,76,145,add
128,40,71,111,add
129,71,84,155,add
130,29,66,95,add
131,80,84,164,add
132,13,57,70,add
133,45,88,133,add
134,11,17,28,add
135,73,84,157,add
136,93,12,105,add
137,40,94,134,add
138,13,11,24,add
139,93,80,173,add
140,38,30,68,add
141,53,12,65,add
142,8,68,76,add
143,71,97,168,add
144,81,92,173,add
145,24,76,100,add
146,24,13,37,add
147,101,90,191,add
148,73,27,100,add
149,92,4,96,add
150,83,10,93,add
151,12,17,29,add
152,54,66,120,add
153,64,17,81,add
154,95,75,170,add
155,24,88,112,add
156,44,20,64,add
157,34,23,57,add
158,74,61,135,add
