,operand1,operand2,target
0,47,91,144845521639389021071704401212087748776047428642231935078206137909676809751807897994352089243327500744632675706354486130610785140518879848489504921881103
1,1,31,1
2,85,59,685041082276139158513388417258695872621137915811366095913077016451058062936063652870188889210112392902374267578125
3,61,9,11694146092834141
4,77,28,66334629044966824718765264495212069363677393830384881
5,5,71,42351647362715016953416125033982098102569580078125
6,41,45,3760742104414322890196373752543826279660942619486917075375196149018545801
7,84,7,29509034655744
8,15,57,10894361101313487863732444325959303199624628177843987941741943359375
9,5,55,277555756156289135105907917022705078125
10,19,20,37589973457545958193355601
11,60,53,17458875593238903709891815369861183936921600000000000000000000000000000000000000000000000000000
12,100,56,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,52,67,9380457573341078260360729208857670265654516128325759011734668892775880418036530473920337497174000485334945342947328
14,59,12,1779197418239532716881
15,60,32,795866110994640088439193600000000000000000000000000000000
16,56,32,87501775260248338795649138639242377629452267851964481536
17,73,22,98424433237708439716398638596388483974129
18,45,84,7410562204840818189733353292913481449536456075868125669685812873956955484420696129971818124404004703154047462021480896510183811187744140625
19,34,31,299120672332806228664106719451209941853702979584
20,91,31,5373820576884523425140658257058405227825374728281265334174291
21,66,20,2459680572025003612127586705579442176
22,36,27,1047532535594334222593508922191671036215296
23,65,16,101534516782101416168212890625
24,5,41,45474735088646411895751953125
25,47,76,12007074439621798583106310800617106589152736015451686118433827019101784974777070512981913623888579673417702959220013029518992321
26,91,86,3003030475944692418432760633109602115250184264840353350917846360939527287986067341029861153493029958516806302593357837933895670840754887468051140953261479000263915823241
27,5,83,10339757656912845935892608650874535669572651386260986328125
28,90,94,4997995805289294001380799035749587006445371220011148857061742728526637781076397624466021610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
29,5,86,1292469707114105741986576081359316958696581423282623291015625
30,16,50,1606938044258990275541962092341162602522202993782792835301376
31,4,77,22835963083295358096932575511191922182123945984
32,3,26,2541865828329
33,72,39,2728772695579799336784892778632526469748388043320743972998503626658807808
34,76,1,76
35,33,9,46411484401953
36,81,71,3180067514517270107317257158381199719404033018573875498472466464480976313561701403314789206724687378354566993397661904208999164716069681
37,64,95,3864537523017258344695351890931987344298927329706434998657235251451519142289560424536193766581922577962463616031502177177365078661042987655742908673467080748696980814823424
38,56,22,288493873028852398739253829029106548736
39,73,26,2795080775372854558800260190932141897521953107089
40,49,68,8576961130780439102195466458014775619525540335410702141173812927660310682339561026110746047763747210468543647441601
41,58,23,36211277946678491129762594928113653645312
42,72,75,19949739648013771602075875226676196146821989588774256555379965506396527074281203266395655042498467044618538708374569162315293313518763245568
43,30,43,3282569673945370776270000000000000000000000000000000000000000000
44,25,22,5684341886080801486968994140625
45,29,54,9321630555798640999650267840597716238267698470229978898792541514288701586888281
46,17,33,40254497110927943179349807054456171205137
47,32,13,36893488147419103232
48,21,3,9261
49,26,18,29479510200013918864408576
50,62,76,16663583493059868076104785865119141484936091297597889442558601261038333011634643672295302701085621388728842150869585287863608606212489216
51,75,51,424741242320203218498836022108859691688536766098163613251947889892790044541470706462860107421875
52,9,35,2503155504993241601315571986085849
53,67,6,90458382169
54,53,78,311542878939803713774707240736187075821410009075750142374029273533515555672351461074938367370573368606495819389913996972978543100788489
55,97,31,38897685648686306961584993323026037365043690280067733586177953
