epoch,loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0,5901499.0,1714.44091796875,5901499.0,8117425.5,2243.049560546875,8117425.5,0.0010000000474974513
1,5897210.0,1713.5909423828125,5897210.0,8116286.5,2242.87744140625,8116286.5,0.0010000000474974513
2,5894760.0,1713.0159912109375,5894760.0,8115065.5,2242.69775390625,8115065.5,0.0010000000474974513
3,5891120.0,1712.52880859375,5891120.0,8113792.0,2242.503662109375,8113792.0,0.0010000000474974513
4,5888394.5,1712.1549072265625,5888394.5,8112437.0,2242.30029296875,8112437.0,0.0010000000474974513
5,5885789.0,1711.7947998046875,5885789.0,8111061.5,2242.09521484375,8111061.5,0.0010000000474974513
6,5886589.0,1711.796875,5886589.0,8109714.5,2241.899169921875,8109714.5,0.0010000000474974513
7,5883495.0,1711.4415283203125,5883495.0,8108323.0,2241.698486328125,8108323.0,0.0010000000474974513
8,5882893.0,1711.18505859375,5882893.0,8107002.5,2241.51171875,8107002.5,0.0010000000474974513
9,5880696.5,1710.951904296875,5880696.5,8105721.5,2241.32470703125,8105721.5,0.0010000000474974513
10,5880471.0,1711.000244140625,5880471.0,8104537.5,2241.1591796875,8104537.5,0.0010000000474974513
11,5876970.0,1710.3878173828125,5876970.0,8103395.0,2241.002685546875,8103395.0,0.0010000000474974513
12,5877497.0,1710.42822265625,5877497.0,8102369.5,2240.867919921875,8102369.5,0.0010000000474974513
13,5875299.0,1710.17626953125,5875299.0,8101469.0,2240.75146484375,8101469.0,0.0010000000474974513
14,5875495.0,1710.1773681640625,5875495.0,8100696.0,2240.65673828125,8100696.0,0.0010000000474974513
15,5875377.0,1710.22607421875,5875376.5,8099964.0,2240.56982421875,8099964.0,0.0010000000474974513
16,5871774.0,1710.0145263671875,5871774.0,8099289.5,2240.487548828125,8099289.5,0.0010000000474974513
17,5872752.0,1709.9808349609375,5872752.0,8098709.0,2240.42431640625,8098709.0,0.0010000000474974513
18,5870856.5,1709.607421875,5870856.5,8098245.5,2240.3779296875,8098245.5,0.0010000000474974513
19,5869664.0,1709.7740478515625,5869664.0,8097818.5,2240.33837890625,8097818.5,0.0010000000474974513
20,5870487.0,1709.7752685546875,5870486.5,8097359.0,2240.297607421875,8097359.0,0.0010000000474974513
21,5869456.5,1709.6939697265625,5869456.5,8096947.0,2240.2587890625,8096947.0,0.0010000000474974513
22,5866511.5,1709.45361328125,5866511.5,8096609.0,2240.231689453125,8096609.0,0.0010000000474974513
23,5869229.5,1709.5067138671875,5869229.0,8096239.0,2240.19677734375,8096239.0,0.0010000000474974513
24,5869160.5,1709.8499755859375,5869160.5,8095813.0,2240.150146484375,8095813.0,0.0010000000474974513
25,5866593.0,1709.3778076171875,5866593.0,8095576.0,2240.13330078125,8095576.0,0.0010000000474974513
26,5865806.0,1709.1783447265625,5865806.0,8095446.5,2240.14111328125,8095446.5,0.0010000000474974513
27,5864461.0,1708.995361328125,5864461.0,8095217.0,2240.14013671875,8095217.0,0.0010000000474974513
28,5863679.0,1709.000244140625,5863679.0,8095041.5,2240.14501953125,8095041.5,0.0010000000474974513
29,5864415.0,1708.99072265625,5864415.0,8094870.5,2240.154052734375,8094870.5,0.0010000000474974513
30,5861978.5,1708.6781005859375,5861978.5,8094763.0,2240.176513671875,8094763.0,0.0010000000474974513
31,5860824.0,1708.7706298828125,5860824.0,8094621.0,2240.19482421875,8094621.0,0.0010000000474974513
32,5862349.0,1708.8834228515625,5862349.0,8094584.0,2240.227783203125,8094584.0,0.0010000000474974513
33,5858761.5,1708.47998046875,5858761.5,8094448.0,2240.24462890625,8094448.0,0.0010000000474974513
34,5858712.5,1708.4503173828125,5858712.5,8094417.0,2240.2783203125,8094417.0,0.0010000000474974513
35,5861002.5,1708.73046875,5861002.5,8094216.0,2240.27880859375,8094216.0,0.0010000000474974513
36,5857819.0,1708.569580078125,5857819.0,8094134.5,2240.300048828125,8094134.5,0.0010000000474974513
37,5857426.5,1708.444580078125,5857426.5,8093980.0,2240.2958984375,8093980.0,0.0010000000474974513
38,5858241.0,1708.40966796875,5858241.0,8093689.5,2240.273681640625,8093689.5,0.0010000000474974513
39,5856465.0,1708.266357421875,5856465.0,8093530.5,2240.26708984375,8093530.5,0.0010000000474974513
40,5854996.5,1707.98779296875,5854996.5,8093285.0,2240.249755859375,8093285.0,0.0010000000474974513
41,5857181.5,1707.8890380859375,5857181.5,8092939.0,2240.21826171875,8092939.0,0.0010000000474974513
42,5853203.0,1707.8377685546875,5853203.0,8092584.0,2240.181396484375,8092584.0,0.0010000000474974513
43,5852661.0,1707.647705078125,5852661.0,8092297.5,2240.156494140625,8092297.5,0.0010000000474974513
44,5851974.5,1707.7025146484375,5851974.5,8091967.0,2240.1259765625,8091967.0,0.0010000000474974513
45,5851389.0,1707.8795166015625,5851389.0,8091688.0,2240.096923828125,8091688.0,0.0010000000474974513
46,5853382.5,1707.4207763671875,5853382.5,8091347.0,2240.057861328125,8091347.0,0.0010000000474974513
47,5854150.5,1707.64404296875,5854150.5,8091021.5,2240.017578125,8091021.5,0.0010000000474974513
48,5851815.5,1707.0401611328125,5851815.5,8090665.5,2239.973876953125,8090665.5,0.0010000000474974513
49,5850825.0,1707.692138671875,5850825.0,8090333.0,2239.94189453125,8090333.0,0.0010000000474974513
50,5850027.5,1707.54296875,5850027.5,8089995.0,2239.916015625,8089995.0,0.0010000000474974513
51,5848289.0,1707.3419189453125,5848289.0,8089687.0,2239.892333984375,8089687.0,0.0010000000474974513
52,5846642.0,1706.921630859375,5846642.0,8089446.5,2239.875,8089446.5,0.0010000000474974513
53,5848510.0,1706.9569091796875,5848510.0,8089143.0,2239.8515625,8089143.0,0.0010000000474974513
54,5850202.0,1706.843017578125,5850201.5,8088738.5,2239.8154296875,8088738.5,0.0010000000474974513
55,5845774.0,1706.9349365234375,5845774.0,8088306.5,2239.77587890625,8088306.5,0.0010000000474974513
56,5850312.5,1707.3070068359375,5850312.5,8087949.0,2239.74658203125,8087949.0,0.0010000000474974513
57,5844438.0,1706.69580078125,5844438.0,8087686.5,2239.725341796875,8087686.5,0.0010000000474974513
58,5845214.0,1706.6607666015625,5845214.0,8087409.0,2239.701904296875,8087409.0,0.0010000000474974513
59,5845362.5,1706.0994873046875,5845362.5,8087032.0,2239.6630859375,8087032.0,0.0010000000474974513
60,5846412.5,1706.94921875,5846412.5,8086627.0,2239.621337890625,8086627.0,0.0010000000474974513
61,5843819.5,1706.1895751953125,5843819.5,8086301.0,2239.59326171875,8086301.0,0.0010000000474974513
62,5837098.5,1705.5767822265625,5837098.5,8086062.5,2239.585205078125,8086062.5,0.0010000000474974513
63,5842675.0,1706.55419921875,5842675.0,8085571.0,2239.52783203125,8085571.0,0.0010000000474974513
64,5842944.0,1706.391357421875,5842944.0,8085173.5,2239.481201171875,8085173.5,0.0010000000474974513
65,5842426.5,1706.0196533203125,5842426.5,8084781.5,2239.42724609375,8084781.5,0.0010000000474974513
66,5838951.5,1705.7635498046875,5838951.5,8084379.0,2239.374267578125,8084379.0,0.0010000000474974513
67,5838813.5,1705.62841796875,5838813.5,8083932.0,2239.315185546875,8083932.0,0.0010000000474974513
68,5837046.5,1705.4674072265625,5837046.5,8083385.0,2239.225830078125,8083385.0,0.0010000000474974513
69,5835966.5,1705.235107421875,5835966.5,8082894.5,2239.15869140625,8082894.5,0.0010000000474974513
70,5836341.5,1705.1549072265625,5836341.5,8082397.5,2239.115478515625,8082397.5,0.0010000000474974513
71,5838398.5,1705.80078125,5838398.5,8081885.0,2239.07275390625,8081885.0,0.0010000000474974513
72,5832808.5,1705.1041259765625,5832808.5,8081309.0,2239.017578125,8081309.0,0.0010000000474974513
73,5836031.0,1704.733642578125,5836030.5,8080658.5,2238.953857421875,8080658.5,0.0010000000474974513
74,5833787.0,1705.224853515625,5833787.0,8080138.5,2238.920166015625,8080138.5,0.0010000000474974513
